"2","一","Same","yī","(副) adverb, (数) numeral","one; 1; single; a (article); as soon as; entire; whole; all; throughout; ""one"" radical in Chinese characters (Kangxi radical 1)","1","","",""
"3","一丝不苟","一絲不苟","yī sī bùgǒu","(名) noun","not one thread loose (idiom); strictly according to the rules; meticulous; not one hair out of place","6","","",""
"4","一举两得","一舉兩得","yījǔliǎngdé","(习惯用语) idiomatic expression","one move, two gains (idiom); two birds with one stone","6","","",""
"5","一会儿","一會兒","yīhuìr","(名) noun","a while","3","","",""
"6","一共","Same","yīgòng","(名) noun, (副) adverb","altogether","3","","",""
"7","一再","Same","yīzài","(副) adverb","repeatedly","6","","",""
"8","一切","Same","yīqiè","(名) noun","everything; every; all","4","","",""
"9","一向","Same","yīxiàng","(副) adverb","always (previously); a period of time in the recent past","6","","",""
"10","一如既往","Same","yīrú jì wǎng","(习惯用语) idiomatic expression","just as in the past (idiom); as before; continuing as always","6","","",""
"11","一定","Same","yīdìng","(副) adverb","surely; certainly; necessarily; fixed; a certain (extent etc); given; particular; must","3","","",""
"12","一帆风顺","一帆風順","yī fān fēng shùn","(习惯用语) idiomatic expression","propitious wind throughout the journey (idiom); plain sailing; to go smoothly; have a nice trip!","6","","",""
"13","一度","Same","yīdù","(副) adverb","for a time; at one time; one time; once","6","","",""
"14","一律","Same","yīlǜ","(形) adjective, (副) adverb","same; uniformly; all; without exception","6","","",""
"15","一旦","Same","yīdàn","(连) conjunction","in case (something happens); if; once (something happens, then...); when; in a short time; in one day","5","","",""
"16","一样","一樣","yīyàng","(形) adjective, (副) adverb","same; like; equal to; the same as; just like","3","","",""
"17","一流","Same","yīliú","(名) noun, (形) adjective","top quality; front ranking","6","","",""
"18","一目了然","一目瞭然","yīmùliǎorán","(习惯用语) idiomatic expression","obvious at a glance (idiom)","6","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E4%B8%80%E7%9B%AE%E4%BA%86%E7%84%B6&amp;cache=1276"" class=""pinyin"">yīm&ugrave;liǎor&aacute;n</a> obvious at a glance (idiom) (<span class=""zh"">一目了然</span>)"
"18","一目了然","","yī mù liǎo rán","(习惯用语) idiomatic expression","obvious at a glance (idiom)","","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E4%B8%80%E7%9B%AE%E7%9E%AD%E7%84%B6&amp;cache=1278"" class=""pinyin"">yī m&ugrave; liǎo r&aacute;n</a> obvious at a glance (idiom) (<span class=""zh"">一目瞭然</span>)"
"19","一直","Same","yīzhí","(副) adverb","straight (in a straight line); continuously; always; from the beginning of ... up to ...; all along","3","","",""
"20","一致","Same","yīzhì","(形) adjective","unanimous; identical (views or opinions)","5","","",""
"21","一般","Same","yībān","(形) adjective, (副) adverb","same; ordinary; so-so; common; general; generally; in general","3","","",""
"22","一贯","一貫","yīguàn","(副) adverb","consistent; constant; from start to finish; all along; persistent","6","","",""
"23","一起","Same","yīqǐ","(副) adverb","in the same place; together; with; altogether (in total)","2","","",""
"24","一路平安","Same","yī lù píng'ān","(习惯用语) idiomatic expression","to have a pleasant journey; Bon voyage!","5","","",""
"25","一辈子","一輩子","yī bèizi","(时间) time word","(for) a lifetime","5","","一生",""
"26","一边","一邊","yībiān","(副) adverb","one side; either side; on the one hand; on the other hand; doing while","3","","",""
"27","丁","Same","dīng","(名) noun","fourth of 10 heavenly stems 十天干; fourth in order; letter ""D"" or roman ""IV"" in list ""A, B, C"", or ""I, II, III"" etc; butyl; cubes (of food); (Chinese surname)","5","None","",""
"28","七","Same","qī","(数) numeral","seven; 7","1","","",""
"29","万","萬","mò","(数) numeral","ten thousand; a great number; (Chinese surname)","3","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E4%B8%87&amp;cache=1581"" class=""pinyin"">m&ograve;</a> see <a class=""zh0"" href=""/chinese/wordsearch.php?searchMode=C&amp;dialect=M&amp;word=%E4%B8%87%E4%BF%9F"">万俟</a> (<span class=""zh"">万</span>)"
"29","万","","wàn","","see 万俟","","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E8%90%AC&amp;cache=684"" class=""pinyin"">w&agrave;n</a> ten thousand; a great number; (Chinese surname) (<span class=""zh"">萬</span>)"
"29","万","","mòqí","","polysyllabic surname Moqi","","","",""
"30","万一","萬一","wànyī","(连) conjunction, (副) adverb","just in case; if by any chance; contingency","5","","",""
"31","万分","萬分","wànfēn","(副) adverb","very much; extremely; one ten thousandth part","6","","",""
"32","丈夫","Same","zhàngfu","(名) noun","husband","2","个","",""
"33","三","Same","sān","(数) numeral","three; 3; (Chinese surname)","1","","",""
"34","三角","Same","sānjiǎo","(名) noun","triangle","6","","",""
"35","上","Same","shǎng","(动) verb","on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university)","1","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E4%B8%8A&amp;cache=1884"" class=""pinyin"">shǎng</a> see <a class=""zh0"" href=""/chinese/wordsearch.php?searchMode=C&amp;dialect=M&amp;word=%E4%B8%8A%E8%81%B2"">上聲</a>"
"35","上","","shàng","","see 上聲","","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E4%B8%8A&amp;cache=1885"" class=""pinyin"">sh&agrave;ng</a> on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university)"
"36","上任","Same","shàngrèn","(动) verb","to take office","6","","",""
"37","上午","Same","shàngwǔ","(名) noun, (时间) time word","morning","1","个","",""
"38","上当","上當","shàngdàng","(形) adjective","taken in (by somebody's deceit); to be fooled; to be duped","5","","",""
"39","上游","上遊","shàngyóu","(名) noun","upper reaches (of a river); upper level; upper echelon; upstream","6","","",""
"40","上班","Same","shàngbān","(动宾式) verb object","to go to work; to be on duty; to start work; to go to the office","2","","",""
"41","上瘾","上癮","shàngyǐn","(名) noun, (形) adjective","to get into a habit; to become addicted","6","","",""
"42","上级","上級","shàngjí","(名) noun","higher authorities; superiors","6","个","",""
"43","上网","上網","shàngwǎng","(动宾式) verb object","to be on the internet; to stretch a net (in a sports game or for covering something); to be netted (of fish)","3","","",""
"44","上进心","上進心","shàngjìn xīn","(名) noun","motivation; ambition","6","","",""
"45","下","Same","xià","(动) verb, (量) measure word","down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc)","1","","",""
"46","下午","Same","xiàwǔ","(名) noun, (时间) time word","afternoon; p.m.","1","个","",""
"47","下属","下屬","xiàshǔ","(名) noun","subordinate; underling","6","","",""
"48","下载","下載","xiàzǎi","(动) verb","to download","5","","",""
"49","下雨","Same","xiàyǔ","(动宾式) verb object","to rain; rainy","1","","",""
"50","不","Same","bù","(副) adverb, (词头) prefix","(negative prefix); not; no","1","","",""
"51","不仅","不僅","bùjǐn","(连) conjunction","not only (this one); not just (...) but also","4","","",""
"52","不但","Same","bùdàn","(连) conjunction, (副) adverb","not only (... but also...)","4","","",""
"53","不像话","不像話","bùxiàng huà","(名) noun","unreasonable; shocking; outrageous","6","句","",""
"54","不免","Same","bùmiǎn","(副) adverb","inevitably","5","","",""
"55","不可思议","不可思議","bùkě sī yì","(习惯用语) idiomatic expression","inconceivable (idiom); unimaginable; unfathomable","6","","",""
"56","不堪","Same","bùkān","(形) adjective","cannot bear; cannot stand; utterly; extremely","6","","",""
"57","不好意思","Same","bùhǎo yìsi","(形) adjective, (习惯用语) idiomatic expression","to feel embarrassed; to find it embarrassing; to be sorry (for inconveniencing somebody)","5","","",""
"58","不如","Same","bùrú","(形) adjective, (连) conjunction","not equal to; not as good as; inferior to; it would be better to","5","","",""
"59","不妨","Same","bùfáng","(副) adverb","there is no harm in; might as well","6","","",""
"60","不安","Same","bù'ān","(形) adjective","unpeaceful; unstable; uneasy; disturbed; restless; worried","5","","",""
"61","不客气","不客氣","bù kèqi","(形) adjective, (习惯用语) idiomatic expression","you're welcome; impolite; rude; blunt; don't mention it","1","","",""
"62","不屑一顾","不屑一顧","bùxièyīgù","(动) verb","to disdain as beneath contempt","6","","",""
"63","不得不","Same","bùdé bù","(副) adverb","have no choice or option but to; cannot but; have to; can't help it; can't avoid","4","","",""
"64","不得了","Same","bù déliǎo","(形) adjective, (副) adverb, (习惯用语) idiomatic expression","desperately serious; disastrous; extremely; exceedingly","5","","",""
"65","不得已","Same","bùdé yǐ","(形) adjective","to act against one's will; to have no alternative but to; to have to; to have no choice; must","6","","",""
"66","不必","Same","bùbì","(副) adverb, (助动) auxiliary verb","need not; does not have to; not necessarily","5","","",""
"67","不惜","Same","bùxī","(形) adjective","not stint; not spare; not hesitate (to do something); not scruple (to do something)","6","","",""
"68","不愧","Same","bùkuì","(动) verb","to be worthy of; to deserve to be called; to prove oneself to be","6","","",""
"69","不择手段","不擇手段","bù zé shǒuduàn","(动) verb","by fair means or foul; by hook or by crook; unscrupulously","6","","",""
"70","不敢当","不敢當","bùgǎn dāng","(形) adjective","lit. I dare not (accept the honor); fig. I don't deserve your praise; you flatter me","6","","",""
"71","不料","Same","bùliào","(副) adverb","unexpectedly; to one's surprise","6","","",""
"72","不断","不斷","bùduàn","(形) adjective, (副) adverb","unceasing; uninterrupted; continuous; constant","5","","",""
"73","不时","不時","bùshí","(副) adverb","from time to time; now and then; occasionally","6","","",""
"74","不止","Same","bùzhǐ","(形) adjective","incessantly; without end; more than; not limited to","6","","",""
"75","不然","Same","bùrán","(连) conjunction, (副) adverb","not so; no; or else; otherwise; if not","5","","",""
"76","不由得","Same","bù yóu de","(副) adverb","can't help; cannot but","6","","",""
"77","不相上下","Same","bù xiāng shàngxià","(副) adverb","equally matched; about the same","6","","",""
"78","不禁","Same","bùjīn","(形) adjective","can't help (doing something); can't refrain from","6","","忍不住",""
"79","不管","Same","bùguǎn","(连) conjunction, (副) adverb","no matter (what, how); regardless of; no matter","4","","",""
"80","不耐烦","不耐煩","bù nàifán","(名) noun","impatience; impatient","5","","",""
"81","不要紧","不要緊","bù yàojǐn","(形) adjective, (习惯用语) idiomatic expression","unimportant; not serious; it doesn't matter; never mind; it looks all right, but","5","","",""
"82","不见得","不見得","bùjiàn de","(副) adverb","not necessarily; not likely","5","","",""
"83","不言而喻","Same","bù yán ér yù","(动) verb","it goes without saying; it is self-evident","6","","",""
"84","不足","Same","bùzú","(形) adjective","insufficient; lacking; deficiency; not enough; inadequate; not worth; cannot; should not","5","","",""
"85","不过","不過","bùguò","(连) conjunction, (副) adverb","only; merely; no more than; but; however; anyway (to get back to a previous topic)","4","","",""
"86","不顾","不顧","bùgù","(形) adjective","in spite of; regardless of","6","","",""
"87","与","與","yú","(连) conjunction, (介) preposition","and; to give; together with","4","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E8%88%87&amp;cache=74999"" class=""pinyin"">y&uacute;</a> (same as <a class=""zh0"" href=""/chinese/wordsearch.php?searchMode=C&amp;dialect=M&amp;word=%E6%AD%9F"">歟</a>, final particle expression doubt or surprise, similar to <a class=""zh0"" href=""/chinese/wordsearch.php?searchMode=C&amp;dialect=M&amp;word=%E5%90%97"">吗</a> or <a class=""zh0"" href=""/chinese/wordsearch.php?searchMode=C&amp;dialect=M&amp;word=%E5%91%A2"">呢</a>)<br /><a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E8%88%87&amp;cache=75001"" class=""pinyin"">y&ugrave;</a> take part in"
"87","与","","yǔ","(助) particle","(same as 歟, final particle expression doubt or surprise, similar to 吗 or 呢)","","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E8%88%87&amp;cache=75000"" class=""pinyin"">yǔ</a> and; to give; together with<br /><a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E8%88%87&amp;cache=75001"" class=""pinyin"">y&ugrave;</a> take part in"
"87","与","","yú","","take part in","","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E8%88%87&amp;cache=74999"" class=""pinyin"">y&uacute;</a> (same as <a class=""zh0"" href=""/chinese/wordsearch.php?searchMode=C&amp;dialect=M&amp;word=%E6%AD%9F"">歟</a>, final particle expression doubt or surprise, similar to <a class=""zh0"" href=""/chinese/wordsearch.php?searchMode=C&amp;dialect=M&amp;word=%E5%90%97"">吗</a> or <a class=""zh0"" href=""/chinese/wordsearch.php?searchMode=C&amp;dialect=M&amp;word=%E5%91%A2"">呢</a>)<br /><a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E8%88%87&amp;cache=75000"" class=""pinyin"">yǔ</a> and; to give; together with"
"88","与其","與其","yǔqí","(连) conjunction","rather than...; 與其 A 不如 B (rather than A, better to B)","5","","",""
"89","与日俱增","與日俱增","yǔrìjùzēng","(习惯用语) idiomatic expression","to increase steadily; to grow with each passing day","6","","",""
"90","丑","醜","chǒu","(形) adjective","shameful; ugly; disgraceful","5","None","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E4%B8%91&amp;cache=11"" class=""pinyin"">chǒu</a> clown; 2nd earthly branch: 1-3 a.m., 12th solar month (6th January to 3rd February), year of the Ox; (Chinese surname) (<span class=""zh"">丑</span>)"
"90","丑","","chǒu","(名) noun","clown; 2nd earthly branch: 1-3 a.m., 12th solar month (6th January to 3rd February), year of the Ox; (Chinese surname)","","None","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E9%86%9C&amp;cache=89693"" class=""pinyin"">chǒu</a> shameful; ugly; disgraceful (<span class=""zh"">醜</span>)"
"91","丑恶","醜惡","chǒu'è","(形) adjective","ugly; repulsive","6","","",""
"92","专业","專業","zhuānyè","(名) noun, (形) adjective","specialty; specialized field; main field of study (at university); major; professional","4","门, 个","",""
"93","专利","專利","zhuānlì","(名) noun","patent","6","","",""
"94","专家","專家","zhuānjiā","(名) noun","expert; specialist","5","个","",""
"95","专心","專心","zhuānxīn","(形) adjective, (副) adverb","to concentrate; absorption; concentration; engrossed","5","","",""
"96","专科","專科","zhuānkē","(名) noun","specialized subject; branch (of medicine); specialized training school","6","所","",""
"97","专程","專程","zhuānchéng","(名) noun","special-purpose trip","6","","",""
"98","专长","專長","zhuāncháng","(名) noun","specialty; special knowledge or ability","6","","",""
"99","专门","專門","zhuānmén","(名) noun, (形) adjective","specialist; specialized; customized","4","","",""
"100","专题","專題","zhuāntí","(名) noun","special topic","6","","",""
"101","世代","Same","shìdài","(名) noun","generation; an era; accumulation of years; passing on from generation to generation","6","","",""
"102","世界","Same","shìjiè","(名) noun","world","3","个","天下, 人间",""
"103","世界观","世界觀","shìjiè guān","(名) noun","worldview; world outlook; Weltanschauung","6","","",""
"104","世纪","世紀","shìjì","(名) noun","century","4","个","",""
"105","丘陵","Same","qiūlíng","(名) noun","hills","6","","",""
"106","丙","Same","bǐng","(名) noun","third of 10 heavenly stems 十天干; third in order; letter ""C"" or roman ""III"" in list ""A, B, C"", or ""I, II, III"" etc; propyl","5","None","",""
"107","业余","業餘","yèyú","(形) adjective","spare time; amateur; extra-curricular","5","","",""
"108","业务","業務","yèwù","(名) noun","business; professional work; service","5","项","",""
"109","丛","叢","cóng","(量) measure word","cluster; collection; collection of books; thicket","6","","",""
